company,industry_code,country,region,industry
AAR Corp,9,United States,North America,Wholesale & Retail
ACF Industries Holding Corp,3,United States,North America,Manufacturing
ACS Industries Inc,3,United States,North America,Manufacturing
ADC Telecommunications Inc.,6,United States,North America,Business Equipment & Software
AES Technology Systems Inc,3,United States,North America,Manufacturing
AFG Industries Inc,3,United States,North America,Manufacturing
AFP Imaging Corp,10,United States,North America,Healthcare
Alpharma Inc.,10,United States,North America,Healthcare
United Dominion Industries,3,United States,North America,Manufacturing
AM Communication Inc.,6,United States,North America,Business Equipment & Software
AMF Inc,1,United States,North America,Consumer Non-Durables
American Airlines Group Inc,12,United States,North America,Other
ANR Pipeline Co,8,United States,North America,Utilities
AST Research Inc,6,United States,North America,Business Equipment & Software
Aeroflex Inc,6,United States,North America,Business Equipment & Software
AVX Corp.,6,United States,North America,Business Equipment & Software
Pinnacle West Capital Corp,8,United States,North America,Utilities
Abbott Laboratories,10,United States,North America,Healthcare
Abitibi-Consolidated Inc.,3,Canada,North America,Manufacturing
Worlds Inc,6,United States,North America,Business Equipment & Software
AT&T Technologies Inc,6,United States,North America,Business Equipment & Software
Aceto Corp,9,United States,North America,Wholesale & Retail
Acme Electric Corp,3,United States,North America,Manufacturing
Acme Precision Products Inc,3,United States,North America,Manufacturing
Acme United Corp,3,United States,North America,Manufacturing
Activision Inc.,6,United States,North America,Business Equipment & Software
ADAC Laboratories,10,United States,North America,Healthcare
Addmaster Corp,6,United States,North America,Business Equipment & Software
Advanced Systems Inc,12,United States,North America,Other
Aequitron Medical Inc,10,United States,North America,Healthcare
Aero Systems Engineering Inc,12,United States,North America,Other
Aeronca Inc,3,United States,North America,Manufacturing
Advanced Micro Devices Inc,6,United States,North America,Business Equipment & Software
MCI Inc,7,United States,North America,Telecommunication
ASM International NV,3,Netherlands,Europe,Manufacturing
Aetna Inc.,11,United States,North America,Finance
Agway Inc,9,United States,North America,Wholesale & Retail
Air Products and Chemicals Inc.,5,United States,North America,Chemicals
Airborne Inc.,12,United States,North America,Other
Alanco Technologies Inc,12,United States,North America,Other
ATRION Corp,10,United States,North America,Healthcare
Alba-Waldensian Inc,1,United States,North America,Consumer Non-Durables
Alberta Energy Co Ltd,4,Canada,North America,Energy
Alcan Inc.,3,Canada,North America,Manufacturing
Alcide Corp,5,United States,North America,Chemicals
IKON Office Solutions Inc.,9,United States,North America,Wholesale & Retail
Alden Electronics Inc,6,United States,North America,Business Equipment & Software
Matson Inc,12,United States,North America,Other
Tamir Biotechnology Inc,10,United States,North America,Healthcare
Alico Inc,1,United States,North America,Consumer Non-Durables
All American Industries Inc,3,United States,North America,Manufacturing
Sunbeam Corp,1,United States,North America,Consumer Non-Durables
Allegheny Energy Inc.,8,United States,North America,Utilities
Allen Telecom Inc.,6,United States,North America,Business Equipment & Software
Allen Organ Company,6,United States,North America,Business Equipment & Software
Honeywell International Inc,12,United States,North America,Other
Allis-Chalmers Energy Inc,4,United States,North America,Energy
Alpex Computer Corp,11,United States,North America,Finance
Skyworks Solutions Inc,6,United States,North America,Business Equipment & Software
Alpha Solarco Inc,3,United States,North America,Manufacturing
Altron Inc,6,United States,North America,Business Equipment & Software
Alcoa Inc,3,United States,North America,Manufacturing
Alza Corp,10,United States,North America,Healthcare
Amax Inc,3,United States,North America,Manufacturing
Amcast Industrial Corp,2,United States,North America,Consumer Durables
Hess Corp,4,United States,North America,Energy
American Airlines Inc,12,United States,North America,Other
Amerco,12,United States,North America,Other
American Biltrite Inc.,3,United States,North America,Manufacturing
Beam Inc,1,United States,North America,Consumer Non-Durables
ABM Industries Inc,12,United States,North America,Other
American Cyanamid Co,5,United States,North America,Chemicals
American Electric Power Co Inc,8,United States,North America,Utilities
American Express Co,11,United States,North America,Finance
