gvkey,year,assets,capex,ebitda,sales,rdex,sic,naics,company,city,country_code,patentcount,naics_2d,sic_2d,industry_code,country,region
001004,1983,137.228,5.3140001,15.208,177.76199,NA,5080,423860,AAR Corp,Wood Dale,USA,1,42,50,9,United States,North America
001004,1985,198.287,8.0050001,27.282,248.01199,NA,5080,423860,AAR Corp,Wood Dale,USA,1,42,50,9,United States,North America
001004,1993,417.62598,5.9839997,29.105999,407.75397,NA,5080,423860,AAR Corp,Wood Dale,USA,3,42,50,9,United States,North America
001004,1994,425.814,9.073,34.765999,451.39502,NA,5080,423860,AAR Corp,Wood Dale,USA,1,42,50,9,United States,North America
001004,1995,437.84598,7.5469999,42.556999,504.99002,NA,5080,423860,AAR Corp,Wood Dale,USA,3,42,50,9,United States,North America
001004,2000,701.854,13.134,64.366997,874.25494,NA,5080,423860,AAR Corp,Wood Dale,USA,1,42,50,9,United States,North America
001004,2003,709.29205,10.286,47.490997,651.95801,NA,5080,423860,AAR Corp,Wood Dale,USA,1,42,50,9,United States,North America
001004,2005,978.81897,16.296,91.877007,897.284,NA,5080,423860,AAR Corp,Wood Dale,USA,1,42,50,9,United States,North America
001004,2009,1501.042,28.855,134.345,1352.151,NA,5080,423860,AAR Corp,Wood Dale,USA,1,42,50,9,United States,North America
001004,2010,1703.7269,124.879,196.31201,1775.782,NA,5080,423860,AAR Corp,Wood Dale,USA,3,42,50,9,United States,North America
001004,2011,2195.6531,91.217995,222.69299,2074.498,NA,5080,423860,AAR Corp,Wood Dale,USA,1,42,50,9,United States,North America
001004,2013,2199.5,26.5,256,2035.0001,NA,5080,423860,AAR Corp,Wood Dale,USA,1,42,50,9,United States,North America
001004,2015,1442.1,88.400002,136.89999,1662.6,NA,5080,423860,AAR Corp,Wood Dale,USA,2,42,50,9,United States,North America
001004,2016,1504.1,33.599998,148.2,1767.6001,NA,5080,423860,AAR Corp,Wood Dale,USA,1,42,50,9,United States,North America
001010,1980,1109.488,152.944,170.66701,1044.641,6.5650001,3743,336510,ACF Industries Holding Corp,St. Charles,USA,47,31-33,37,3,United States,North America
001010,1981,1240.559,126.155,171.42101,939.09497,8.2340002,3743,336510,ACF Industries Holding Corp,St. Charles,USA,35,31-33,37,3,United States,North America
001010,1982,1200.1481,125.749,159.12799,785.22302,7.6610003,3743,336510,ACF Industries Holding Corp,St. Charles,USA,22,31-33,37,3,United States,North America
001010,1983,1173.062,50.889,100.928,576.633,6.7919998,3743,336510,ACF Industries Holding Corp,St. Charles,USA,26,31-33,37,3,United States,North America
001010,1984,1163.6429,115.284,87.837006,207.916,1.067,3743,336510,ACF Industries Holding Corp,St. Charles,USA,18,31-33,37,3,United States,North America
001010,1985,1482.236,91.308998,107.39999,212.944,1.018,3743,336510,ACF Industries Holding Corp,St. Charles,USA,7,31-33,37,3,United States,North America
001010,1986,1489.42,103.063,113.131,201.88799,0.98899996,3743,336510,ACF Industries Holding Corp,St. Charles,USA,8,31-33,37,3,United States,North America
001010,1987,1958.014,73.588997,126.84599,233.62599,0.90500003,3743,336510,ACF Industries Holding Corp,St. Charles,USA,5,31-33,37,3,United States,North America
001010,1988,1988.285,101.834,138.991,287.72299,0.96899998,3743,336510,ACF Industries Holding Corp,St. Charles,USA,3,31-33,37,3,United States,North America
001010,1989,1804.989,148.116,159.79901,326.45001,0.90000004,3743,336510,ACF Industries Holding Corp,St. Charles,USA,5,31-33,37,3,United States,North America
001010,1990,1728.8879,140.38499,177.87,312.30899,1,3743,336510,ACF Industries Holding Corp,St. Charles,USA,3,31-33,37,3,United States,North America
001010,1991,1756.2621,44.799,173.63,304.091,0.90000004,3743,336510,ACF Industries Holding Corp,St. Charles,USA,6,31-33,37,3,United States,North America
001010,1993,1665.921,58.790001,150.52501,348.42899,1.1999999,3743,336510,ACF Industries Holding Corp,St. Charles,USA,3,31-33,37,3,United States,North America
001010,1994,1815.1,72.199997,137,380.5,1.1,3743,336510,ACF Industries Holding Corp,St. Charles,USA,4,31-33,37,3,United States,North America
001010,1995,2015.7999,109.3,157,407.20001,1.1,3743,336510,ACF Industries Holding Corp,St. Charles,USA,1,31-33,37,3,United States,North America
001012,1987,16.858,2.276,1.7319999,27.434,0.178,3357,331491,ACS Industries Inc,Lincoln,USA,1,31-33,33,3,United States,North America
001013,1986,85.079002,10.085,28.387999,143.677,12.981999,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,4,31-33,36,6,United States,North America
001013,1987,104.821,11.128,32.365997,166.86299,15.473001,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,10,31-33,36,6,United States,North America
001013,1988,119.694,13.486,32.973,179.85201,17.400999,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,8,31-33,36,6,United States,North America
001013,1989,143.83099,9.5950003,32.606998,196.388,17.360001,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,2,31-33,36,6,United States,North America
001013,1990,181.66499,13.734,49.724998,259.802,25.462,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,4,31-33,36,6,United States,North America
001013,1991,247.16901,24.567001,52.995003,293.83902,32.315002,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,12,31-33,36,6,United States,North America
001013,1992,240.76199,15.780001,58.035999,316.496,36.063,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,9,31-33,36,6,United States,North America
001013,1993,280.05402,21.243,72.358002,366.11798,40.987999,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,15,31-33,36,6,United States,North America
001013,1994,334.68402,21.788,86.036995,448.73502,48.973999,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,12,31-33,36,6,United States,North America
001013,1995,601.08301,32.456001,110.57899,586.22205,66.459999,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,11,31-33,36,6,United States,North America
001013,1996,768.76501,69.056999,166.978,828.00897,90.038002,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,9,31-33,36,6,United States,North America
001013,1997,936.30304,119.03,238.207,1164.4501,122.638,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,10,31-33,36,6,United States,North America
001013,1998,1300.587,94.548996,290.67502,1379.6781,137.912,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,10,31-33,36,6,United States,North America
001013,1999,1672.5289,105.403,413.73901,1926.947,281.47198,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,23,31-33,36,6,United States,North America
001013,2000,3970.5002,375.30002,670.10004,3287.9001,338,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,23,31-33,36,6,United States,North America
001013,2001,2499.7002,241.2,-55.600002,2402.8,278.60001,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,47,31-33,36,6,United States,North America
001013,2002,1144.2,25.600002,-192.39999,1047.7001,193.3,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,69,31-33,36,6,United States,North America
001013,2003,1296.9,69.5,19.9,773.20001,108.6,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,99,31-33,36,6,United States,North America
001013,2004,1428.1001,10.3,78.200005,784.30005,59.100002,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,97,31-33,36,6,United States,North America
001013,2005,1535,30.199999,159,1169.2,71.599998,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,82,31-33,36,6,United States,North America
001013,2006,1611.4,33.299999,140.40001,1281.9,72.400002,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,84,31-33,36,6,United States,North America
001013,2007,1764.7999,32.5,167.89999,1322.2001,69.600006,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,89,31-33,36,6,United States,North America
001013,2008,1921,42.400002,173.3,1456.4,83.5,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,131,31-33,36,6,United States,North America
001013,2009,1343.6,32,84.699997,996.69995,65.299995,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,141,31-33,36,6,United States,North America
001013,2010,1474.5,29.4,121.39999,1156.6,69.700005,3661,334210,ADC Telecommunications Inc.,Eden Prairie,USA,145,31-33,36,6,United States,North America
001018,1980,7.368,0.74900001,-3.9630001,12.06,1.557,3861,333315,AES Technology Systems Inc,Elk Grove Village,USA,4,31-33,38,3,United States,North America
001018,1982,3.747,0.51800001,0.91600001,5.822,1.01,3861,333315,AES Technology Systems Inc,Elk Grove Village,USA,5,31-33,38,3,United States,North America
001018,1983,3.9360001,0.308,0.91800004,5.625,0.73400003,3861,333315,AES Technology Systems Inc,Elk Grove Village,USA,1,31-33,38,3,United States,North America
001020,1980,140.96899,10.932,14.587,101.196,NA,3211,327211,AFG Industries Inc,Alpharetta,USA,1,31-33,32,3,United States,North America
001021,1994,15.075,0.17999999,1.051,30.505001,1.064,3844,334517,AFP Imaging Corp,Elmsford,USA,1,31-33,38,10,United States,North America
001021,1998,18.661001,0.47999999,1.359,33.773003,2.6109998,3844,334517,AFP Imaging Corp,Elmsford,USA,1,31-33,38,10,United States,North America
001021,1999,13.986,0.169,-0.26500002,29.370001,1.205,3844,334517,AFP Imaging Corp,Elmsford,USA,1,31-33,38,10,United States,North America
001021,2000,11.608,0.139,0.67199999,25.366999,0.477,3844,334517,AFP Imaging Corp,Elmsford,USA,1,31-33,38,10,United States,North America
001021,2001,8.6350002,0.20299999,0.38100001,24.050999,0.45700002,3844,334517,AFP Imaging Corp,Elmsford,USA,2,31-33,38,10,United States,North America
001021,2002,7.8499999,0.034000002,0.71100003,20.087,0.5,3844,334517,AFP Imaging Corp,Elmsford,USA,1,31-33,38,10,United States,North America
001021,2003,6.0440001,0.221,0.205,18.044001,0.55400002,3844,334517,AFP Imaging Corp,Elmsford,USA,1,31-33,38,10,United States,North America
