country,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda,region
Antigua and Barbuda,21,170,27.79,324.64,249.71,4314.14,758.56,North America
Argentina,7,9,20.79,10613.3,11124.78,47556.91,17815.72,Other
Australia,269,1718,9173.39,244620.1,16499.17,1514813.84,528325.45,Asia Pacific
Austria,21,425,1593.01,6977.25,6210.61,131260.96,12575.99,Europe
Bahamas,14,24,54.75,0.97,3.22,15.69,-73.08,North America
Belgium,101,3019,13939.38,49172.06,15804.86,636700.49,167906.98,Europe
Belize,1,1,0,7,591.9,60.7,46.6,North America
Bermuda,69,6763,12323.53,16511.85,5179.46,134096.46,28539.32,North America
Brazil,83,542,23429.88,527393.52,57218.85,2205942.08,613171.17,Other
Canada,2107,22411,85501.24,568962.76,7371.87,4696284.42,1012144.54,North America
Cayman Islands,20,509,425.12,78.05,149.55,1717.29,94.69,North America
Chile,2,2,0.42,60.48,802.96,876.51,196.19,Other
China,168,6380,60661.29,737018.45,39357.92,6994459.88,907417.51,Asia Pacific
Colombia,3,5,0,19984.41,54899.4,85214.57,31316.34,Other
Denmark,182,4502,44953.76,67833.04,5399.45,818593.06,195131.91,Europe
Finland,182,18390,104221.31,60956.81,9452.79,1753350.97,216471.81,Europe
France,738,35111,450372.34,838041.28,27955.92,13572544.96,2181223.75,Europe
Germany,898,113179,886127.25,1530482.72,36105.34,20996883.45,2755610.12,Europe
Gibraltar,7,56,0,0.15,14.24,0.03,-28.45,Europe
Greece,1,5,21.24,10.83,537.02,270.34,8.59,Europe
"Hong Kong, SAR China",107,2398,11345.88,161259.61,14085.61,1063790.85,276086.23,Asia Pacific
Iceland,12,63,371.8,105.61,177.88,389.91,-482.73,Europe
India,61,8663,4058.87,39011.44,9001.3,401941.18,71458.49,Asia Pacific
Indonesia,6,10,0,3089.07,3831.6,10226.29,4545.67,Asia Pacific
Ireland,435,33558,116956.46,99716.26,8733.82,2854089.37,474587.96,Europe
Israel,640,3358,32788.56,18953.79,1259.24,346774.53,84818.19,Other
Italy,164,2165,27831.34,328108.51,35793.27,3537389.46,877033.69,Europe
Japan,6694,844409,2185680.4,3761906.51,15686.37,65832434,7314601.87,Asia Pacific
Jersey,4,13,160.39,33.88,224.05,141.82,-344.65,Europe
Luxembourg,85,609,5202.15,54860.24,18114.21,1013119.22,127802.94,Europe
Malaysia,1,1,1.06,1.61,137.75,58,6.19,Asia Pacific
Mexico,12,17,0,5566.64,15234.68,88416.52,19617.51,North America
Netherlands,456,45684,205671.9,221799.48,17458.5,4768714.34,522359.87,Europe
New Zealand,30,284,444.19,930.81,586.88,18440.56,3118.78,Asia Pacific
Norway,121,1041,10137.07,238961.94,18728.45,1820476.25,505214.05,Europe
Panama,17,479,2694.6,1750.83,1223.83,17158.7,4721.52,North America
Russian Federation,8,10,10.14,6805,5522.81,32930.32,14284.72,Europe
Saudi Arabia,15,263,3269.76,59592.57,67137.62,502334.25,161348.28,Asia Pacific
Singapore,102,3172,4449.14,20413.47,2755.64,398676.73,25698.99,Asia Pacific
South Africa,29,186,1390.19,38289.17,10580.63,230922.99,65229.79,Other
South Korea,362,133013,143223.49,867005.69,27205.93,7267439.67,1299876.45,Asia Pacific
Spain,54,195,8899.99,188530.61,59211.67,1545380.87,324273.95,Europe
Sweden,326,22674,181019.82,154480.17,11231.75,3096614.35,403254.13,Europe
Switzerland,482,36298,412566.66,344352.07,51696.13,6726282.46,1591129.77,Europe
Taiwan,821,68461,111792.28,309844.54,4457.66,3908183.86,496492.08,Asia Pacific
Thailand,3,3,0,7591.61,17528.17,18882.05,13301.43,Asia Pacific
Turkey,10,69,348.76,1638.37,4290.74,38839.6,4021.63,Asia Pacific
United Arab Emirates,2,2,0,0,0.06,0.02,-0.06,Asia Pacific
United Kingdom,1303,44556,493879.83,1235996.59,46917.3,18187707.97,3198933.53,Europe
United States,42639,1280664,5027207.64,10147685.24,9710.69,165256531.86,31281163.67,North America
