region,industry_code,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda,industry
Asia Pacific,1,276,5316,36827.15,56287.17,8191.27,2180031.22,233973.85,Consumer Non-Durables
Asia Pacific,10,498,20405,181435.52,59547.5,4840.16,1531573.11,300180.04,Healthcare
Asia Pacific,11,44,337,13.31,30728.59,732509.49,742313.39,396160.3,Finance
Asia Pacific,12,153,25049,17436.02,232093.47,18073.28,2087603.6,405909.05,Other
Asia Pacific,2,1163,147566,573162.71,1217944.56,16700.21,17214204.86,1724916.16,Consumer Durables
Asia Pacific,3,2685,307344,697404.11,966512.98,9130.5,20405574.25,2043188.44,Manufacturing
Asia Pacific,4,75,1711,16537.82,479937,57786.26,3788486.68,582327.91,Energy
Asia Pacific,5,1057,34551,141941.34,253727.96,6007.59,4926076.74,664479.71,Chemicals
Asia Pacific,6,2300,478949,743793.48,1261116.45,7444.13,16258191.22,2101525.8,Business Equipment & Software
Asia Pacific,7,172,7542,111612.7,1051105.87,56823.02,5758049.44,1872015.3,Telecommunication
Asia Pacific,8,51,524,4215.83,257446.34,79537.08,1443816.71,330454.14,Utilities
Asia Pacific,9,148,39203,9687.24,347170.36,51696.24,11620281.53,449352.39,Wholesale & Retail
Europe,1,200,2485,40407.98,174795.83,25424.02,3502915.39,671680.91,Consumer Non-Durables
Europe,10,1062,75025,844315.05,356985.23,10679.15,6700109.88,1740721.58,Healthcare
Europe,11,88,1261,2984.8,49463.36,728249.5,2250668.4,897638.44,Finance
Europe,12,258,43800,177966.07,259179.97,25622.52,4898309.43,576502.44,Other
Europe,2,511,28759,688529.94,1314761.14,42184.72,16927167.21,1707138.71,Consumer Durables
Europe,3,1323,45682,314729.59,459412.65,10372.12,10927157.34,1274411.74,Manufacturing
Europe,4,307,5308,57758.77,1193922.83,47968.97,13875858.32,2339853.51,Energy
Europe,5,750,59371,311402.55,448661.9,13851.43,9871991.85,1350908.98,Chemicals
Europe,6,760,91316,451572.51,197321.7,7600.99,4354036.62,656928.23,Business Equipment & Software
Europe,7,222,6648,62794.68,876461.35,69384.14,6362480.82,2078369.43,Telecommunication
Europe,8,30,43,198,45164.94,43782.13,599241.79,133111.84,Utilities
Europe,9,69,1855,11275.88,51093.58,17715.99,1222903.54,139682.13,Wholesale & Retail
North America,1,1818,19765,85286.77,381964.55,5886.16,10338349.98,1744060.13,Consumer Non-Durables
North America,10,9992,133073,1241074.76,463118.95,1540.64,8536078.97,2372591.24,Healthcare
North America,11,1354,14610,9888.77,232343.56,168047.27,15697085.44,6058481.03,Finance
North America,12,2274,60147,170184.06,915178.26,10758.54,11829649.41,2083527.14,Other
North America,2,2323,72029,524771.74,1034229.12,8017.56,14746122.97,1719996.8,Consumer Durables
North America,3,8374,167295,529192.72,1018460.05,2831.46,22204377.24,2956578.24,Manufacturing
North America,4,1127,52815,106955.46,2109918.25,19198.57,21615646.06,3544454.9,Energy
North America,5,2135,85257,243898.63,518209.96,4679.98,8730511.06,1469844.44,Chemicals
North America,6,13291,656093,2095352.63,1396623.2,2533.15,24932426.27,4918018.4,Business Equipment & Software
North America,7,764,40989,54439.81,1615334.18,31377.89,11088620.69,3379089.13,Telecommunication
North America,8,478,1216,8.38,626338.68,20998.8,3055525.66,948662.92,Utilities
North America,9,970,7749,67180.94,429169.21,9029.63,17424202.03,1151708.96,Wholesale & Retail
Other,1,7,9,74.08,96.52,376.39,3314.46,276.02,Consumer Non-Durables
Other,10,242,1755,20334.62,11337.92,2374.17,221924.65,64595.15,Healthcare
Other,11,8,14,65.8,1226.3,2970.9,1866.32,748.1,Finance
Other,12,57,333,10287.55,124435.16,23791.22,483659.15,192403.7,Other
Other,2,12,16,1.33,496.97,575.92,7602.74,953.24,Consumer Durables
Other,3,26,88,674.64,7550.92,5133.4,68050.63,12441.97,Manufacturing
Other,4,52,438,13888.17,457115.89,71320.02,1926146.53,508228.35,Energy
Other,5,9,18,325.54,7520.98,12507.36,95368.43,14740.17,Chemicals
Other,6,347,1425,11969.66,5439.56,539.97,108250.55,17880.87,Business Equipment & Software
Other,7,2,3,8.46,2.43,157.5,274.68,67.72,Telecommunication
Other,8,2,3,0,72,617.41,829.44,212.1,Utilities
