year,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
1980,538,16088,27170.52,145258.16,2641.29,1571008.22,218146.52
1981,537,17832,32372.5,170689.69,2762.59,1693723.38,233418.86
1982,547,16299,36271.65,163708.4,2843.25,1674446.51,224959.57
1983,566,16579,39932.36,143671.6,3239.19,1787384.21,259386.24
1984,638,20163,48634.29,147311.87,2788.21,1868480.98,272731.96
1985,650,21653,52358.44,224361.38,2963.51,1984013.39,290680.12
1986,694,20132,60670.78,164707.46,3126.13,2058257.83,294564.74
1987,917,29068,78907.33,165291.41,3330.29,2946984.44,366277.03
1988,959,27882,85683.42,193389.39,4017.99,3272601.03,444645.83
1989,1078,37938,109661.97,222032.82,4388.15,3899239.57,533442.42
1990,1090,36398,132551.64,255903.49,4594.93,4419783.92,562087.7
1991,1160,39718,137332.92,263509.74,4883.15,4619946.61,543782.8
1992,1268,41810,149373.39,248382.65,4495.92,4773720.75,534938.34
1993,1339,44135,152298.69,266175.3,5052.55,5181690.82,586996.4
1994,1485,46225,171653.04,333934.06,5156.06,6044848.88,758846.74
1995,1612,46740,188072.49,382308.19,4792.78,6315693.08,902036.82
1996,1784,52209,199914.19,451586.95,4484.03,6532591.9,954587.48
1997,1853,54329,214606.41,480934.6,4503.33,6654957.89,1028533.53
1998,2108,73568,255413.68,532106.81,5068.33,7255324.41,1156200.21
1999,2160,77874,285899.57,646913.78,6266.29,8144416.87,1399576.65
2000,2286,81522,303816.11,731226.48,7291.14,9317756.22,1657775.02
2001,2315,88446,322392.21,682411.87,6832.46,9304716.05,1427383.49
2002,2280,92046,333826.72,673096.94,7859.59,9799364,1603453.94
2003,2294,94737,366964.58,671037.67,9726.58,10978391.69,1841387.54
2004,2226,94808,394921.49,817198.79,10707.41,12643439.24,2213450.04
2005,2106,83383,383887.59,807973.07,11508.98,12562188.98,2222889.59
2006,2160,102619,443636.63,989959.85,14756.32,14721120.78,2741642.22
2007,2090,92895,502753.29,1092543.84,17941.62,16564931.74,3171708.07
2008,1999,95217,514586.81,1119136.51,18427.37,16757346.13,2568021.43
2009,2017,102282,485528.3,985254.1,21186.11,15447973.08,2406224.14
2010,2090,131311,534943.51,1078072.35,24601.1,17747662.79,3367875.68
2011,2135,133765,573354.56,1223649.3,23674.17,19366306.21,3557422.39
2012,2216,149433,589824.8,1352273.77,23533.45,19807868.6,3545179.17
2013,2269,161539,604421.81,1385920.76,24069.78,19981115.15,3686415.56
2014,2237,172966,606362.71,1344273.56,25401.08,19466108.62,3609842.19
2015,2159,166639,623674.99,1260104.98,23416.82,17923517.52,3327106.93
2016,2033,165291,640573.49,1181019.37,25780.92,17490323.27,3319190.28
