year,country,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda,region
1980,Canada,11,70,184.29,3620.33,2562.47,16553.01,3842.38,North America
1980,Ireland,5,259,208.18,342.76,1218.56,7786.71,964.25,Europe
1980,Israel,1,1,0.28,0.2,10.64,5.2,1.54,Other
1980,Japan,13,1797,2467.44,4279.22,6729.26,139274.24,9129.89,Asia Pacific
1980,Netherlands,2,364,209,1717.7,12812.5,30811.01,2608.01,Europe
1980,Panama,1,20,54.39,53.21,707.51,579.51,111,North America
1980,Singapore,1,2,5.68,1.47,42.17,49.78,13.99,Asia Pacific
1980,Sweden,1,12,231.3,343,4043.68,2859.84,366.22,Europe
1980,Switzerland,1,3,0,0,63.97,0,-2.26,Europe
1980,United Kingdom,5,124,277.53,4514.18,9730.6,59162.37,9705.81,Europe
1980,United States,497,13436,23532.42,130386.08,2452.28,1313926.55,191405.68,North America
1981,Canada,10,97,245.93,4344.27,3607.26,20600.65,3903.97,North America
1981,Ireland,5,273,272.86,394.69,1324.28,8558.89,1004.05,Europe
1981,Japan,13,2333,2727.34,11771.12,9668.57,147984.6,17270.65,Asia Pacific
1981,Netherlands,2,415,1377,1597.3,12185.5,30555.01,2623.01,Europe
1981,Panama,1,25,65.52,75.09,771.24,710.88,148.5,North America
1981,Singapore,1,1,7.57,1.11,43.35,40.04,3.27,Asia Pacific
1981,Sweden,1,9,247.5,301.1,3988.4,3036.7,513.5,Europe
1981,United Kingdom,5,136,331.15,6054.38,10062,58168.88,7747.46,Europe
1981,United States,499,14543,27097.63,146150.62,2472.75,1424067.73,200204.45,North America
1982,Canada,16,96,346.41,5159.88,3069.23,23835.09,3476.36,North America
1982,Ireland,5,272,273.3,285.46,1219.76,7449.15,693.03,Europe
1982,Israel,1,1,0.54,0.64,13.84,8.18,0.71,Other
1982,Japan,16,2598,3418.93,12736.08,9006.88,174307.24,18584.03,Asia Pacific
1982,Netherlands,2,424,1399,1325.3,11509,28887,2481,Europe
1982,Panama,2,35,83.61,72.28,433.69,825.66,190.28,North America
1982,Singapore,1,3,9.09,2.22,53.69,54.16,5.64,Asia Pacific
1982,Sweden,1,12,224.1,232.1,3485.7,2760.8,428.2,Europe
1982,Switzerland,1,1,0,2.02,67.04,8.24,5.77,Europe
1982,United Kingdom,6,110,778.81,7193.62,10148.05,68081.59,8328.31,Europe
1982,United States,496,12747,29737.87,136698.81,2552.01,1368229.4,190766.22,North America
