year,industry_code,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
1980,1,32,170,298.33,3765.73,1352.45,71802.71,8318.23
1980,10,47,1896,1889.38,3933.7,1147.28,58399.35,8702.52
1980,11,5,7,0.02,13.82,28776.72,14264.21,1722.85
1980,12,22,935,1056.24,4437.13,1709.9,47701.87,6686.47
1980,2,38,1164,4731.57,14142.43,2601.33,145739.2,7940.91
1980,3,184,4249,6753.31,20813.11,1333.76,302850.5,34481.14
1980,4,30,1413,2198.3,38816.83,10428.16,479200.43,75704.02
1980,5,39,2087,2338.73,8302.35,2080.64,111562.33,14008.58
1980,6,121,3478,7134.58,16966.04,1074.9,140214.78,26638.16
1980,7,5,595,766.92,20271.12,30872.02,73288.84,23934.13
1980,8,4,13,0,12770.01,20233.18,22781.68,6881.76
1980,9,11,81,3.15,1025.89,5110.46,103202.31,3127.74
1981,1,27,201,310.96,4141.31,1695.03,70617.37,8405.03
1981,10,53,2095,3481.66,4620.87,1105.44,63998.2,9758.48
1981,11,4,4,0.05,186.54,6277.62,7218.53,1952.87
1981,12,17,1057,1199.49,4496.08,2502.1,51328.1,6765.4
1981,2,45,1189,5025.34,14098.42,2181.7,152657.69,10368.34
1981,3,186,4724,7410.6,22011.51,1372.62,310674.22,35031.92
1981,4,33,1606,2913.88,53194,10714.44,530677.09,71501.3
1981,5,42,2276,2741.98,9214.58,2400.5,128369.93,15801.21
1981,6,108,3941,8332.08,18019.35,1285.09,149077.64,27769.95
1981,7,6,633,952.2,28191.32,34922.23,99193.16,34804.29
1981,8,4,17,0,11536.99,20353.9,21239.61,6953.19
1981,9,12,89,4.25,978.71,5921.38,108671.84,4306.88
1982,1,24,193,403.82,3964.91,1887.12,69076.81,8647.23
1982,10,50,1705,3757.54,4230.81,1179.15,61568.27,9922.45
1982,11,2,2,0,0,37.44,11.66,9.65
1982,12,18,929,1238.55,3501.47,2342.32,44460.07,5824.35
1982,2,45,1290,4978.77,12821.64,2717.38,170367.95,13038.61
1982,3,189,4368,8075.32,19102.89,1353.94,287816.36,26156.17
1982,4,31,1390,3108.41,49339.93,11844.73,469575.53,62213.76
1982,5,42,1975,3586.87,11142.11,2841.82,149941.24,17410.45
1982,6,119,3805,9971.46,18965.61,1266.6,162799.74,30206.06
1982,7,5,523,1142.6,27054.84,44834.68,108817.49,37161.75
1982,8,5,7,0,12214.97,20211.54,30667.11,9432.43
