year,region,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
1980,Asia Pacific,14,1799,2473.12,4280.69,6251.61,139324.02,9143.88
1980,Europe,14,762,926.01,6917.64,6034.17,100619.93,13642.03
1980,North America,509,13526,23771.1,134059.62,2451.22,1331059.07,195359.06
1980,Other,1,1,0.28,0.2,10.64,5.2,1.54
1981,Asia Pacific,14,2334,2734.92,11772.24,8981.06,148024.64,17273.92
1981,Europe,13,833,2228.51,8347.47,6560.83,100319.48,11888.02
1981,North America,510,14665,27409.08,150569.98,2491.88,1445379.26,204256.92
1982,Asia Pacific,17,2601,3428.02,12738.3,8480.22,174361.4,18589.68
1982,Europe,15,819,2675.21,9038.49,6237.19,107186.79,11936.32
1982,North America,514,12878,30167.89,141930.97,2559.96,1392890.15,194432.86
1982,Other,1,1,0.54,0.64,13.84,8.18,0.71
1983,Asia Pacific,15,2752,4076.49,12871.04,11047.23,197556.91,20558
1983,Europe,20,899,2975.36,8477.59,5213.49,128934.92,14776.19
1983,North America,530,12927,32875.48,122304.26,2944.83,1460760.3,224027.36
1983,Other,1,1,5.02,18.71,291.54,132.07,24.69
1984,Asia Pacific,18,3813,4720.42,7929.64,7301.46,190616.7,17033.89
1984,Europe,23,1200,3452.62,11089.75,5440.32,144223.3,20115.28
1984,North America,596,15147,40453.78,128275.49,2548.08,1533493.35,235593.64
1984,Other,1,3,7.47,16.99,306.17,147.62,-10.84
1985,Asia Pacific,18,4451,8009.34,77324.76,13170.78,290814.79,33787.62
1985,Europe,28,1500,5404.93,17106.4,6991.86,221079.02,31019.9
1985,North America,601,15696,38931.33,129915.08,2474.56,1471902.9,225931.8
1985,Other,3,6,12.84,15.14,119.13,216.67,-59.19
1986,Asia Pacific,18,4645,10637.15,21546.94,16719.38,333915.26,36382.7
1986,Europe,33,1484,7870.07,22915.09,7944.39,257623.48,36341.99
1986,North America,640,13987,42146.29,120232.33,2504.56,1466414.44,221832.86
1986,Other,3,16,17.27,13.09,132.79,304.64,7.2
1987,Asia Pacific,155,11229,21261.18,27480.37,6301.27,995367.5,68479.43
1987,Europe,37,1968,10228.81,25299.85,8787.51,312245.1,44795.66
1987,North America,722,15847,47402.92,112494.49,2422.4,1639098.9,252980.85
1987,Other,3,24,14.42,16.69,119.63,272.94,21.1
1988,Asia Pacific,165,11114,22952.13,30864.94,6617.19,1088569.17,86343.05
1988,Europe,48,2005,13359.81,31600.08,7813.88,368319.37,55276.54
1988,North America,743,14752,49355,130903.58,3196.43,1815380.01,302991.27
1988,Other,3,11,16.48,20.79,137.36,332.47,34.98
1989,Asia Pacific,174,13882,23383.65,38650.41,6379,1061288.59,88707.59
1989,Europe,103,5871,30601.01,36606.23,8284.5,867112.16,118225.99
1989,North America,794,18156,55612.6,146735.42,3462.14,1969977.26,326415.33
1989,Other,7,29,64.71,40.77,138.69,861.56,93.5
1990,Asia Pacific,189,13587,29946.14,50137.75,7245.32,1320858.11,100770.26
1990,Europe,113,5770,40701.28,48752.03,9729.63,1053272.24,135374.3
1990,North America,783,17014,61817.57,156963.7,3197.3,2044458.16,325803.25
1990,Other,5,27,86.64,50.01,252.34,1195.41,139.9
1991,Asia Pacific,194,14662,34082.9,58734.2,7688.64,1407239.24,96386.91
1991,Europe,116,6135,39358.13,44519.33,9902.13,1074233.44,129374.62
1991,North America,845,18884,63796.98,160209,3497.66,2129955.97,315571.23
1991,Other,5,37,94.91,47.2,5777.38,8517.95,2450.04
1992,Asia Pacific,204,15749,38960.16,59003.47,8445.11,1618422.21,97882.84
1992,Europe,120,5990,39278.24,32531.81,9213.18,1022000.89,110187.26
1992,North America,938,20033,71037.68,156801.61,2965.64,2124563.88,324594.14
1992,Other,6,38,97.3,45.76,5100.71,8733.77,2274.1
1993,Asia Pacific,213,16817,42013.26,59181.92,9177.91,1797273.24,98477.86
1993,Europe,125,5975,37728.33,42070.42,9330.83,1045836.49,115843.21
1993,North America,993,21307,72250.97,164837.53,3544.21,2316747.95,368191.19
1993,Other,8,36,306.13,85.43,6835.47,21833.14,4484.13
1994,Asia Pacific,228,17665,49053.59,74690.29,11403.65,2193566.06,153185.2
1994,Europe,130,6081,44040.7,65417.31,11042,1254871.87,164127.55
1994,North America,1119,22439,78221.32,193409.78,3129.78,2573689.8,438786.69
1994,Other,8,40,337.43,416.68,5504.38,22721.16,2747.29
1995,Asia Pacific,236,17682,40516.99,86760.46,9855.09,2000511.41,196031.3
1995,Europe,139,6396,53479.96,72778.53,11128.79,1426649.73,185465.47
1995,North America,1224,22609,93668.71,222262.15,3074.56,2866042.45,517526.3
1995,Other,13,53,406.83,507.05,3744.07,22489.5,3013.75
1996,Asia Pacific,252,19376,40437,99276.44,8341.07,1873265.39,191500.26
1996,Europe,160,7256,59006.29,96804.45,10344.12,1514190.43,203600.93
1996,North America,1362,25529,100076.43,255368.23,3052.39,3120468.31,556704.91
1996,Other,10,48,394.47,137.83,5335.84,24667.77,2781.39
1997,Asia Pacific,254,19864,38470.61,80483.52,8105.39,1758162.84,180409.46
1997,Europe,159,7810,61921.86,116944.91,11595.74,1536091.27,233414.68
1997,North America,1427,26612,113762.6,280079.94,3048.11,3335490.33,610373.24
1997,Other,13,43,451.34,3426.23,4060.58,25213.45,4336.16
1998,Asia Pacific,273,27515,49696.53,94684.5,8644.96,1949257.78,198040.65
1998,Europe,172,10529,71300.33,139658.2,13765.93,1818040.54,284110.07
1998,North America,1644,35446,134153.3,292995.92,3573.76,3466224.62,668912.13
1998,Other,19,78,263.52,4768.18,2670.77,21801.47,5137.37
1999,Asia Pacific,291,28931,75270.16,174379.08,9776.53,2327593.1,281320.13
1999,Europe,198,11727,74733.88,159987.38,13536.56,1857275.66,285052.21
1999,North America,1655,37144,135425.61,308444.41,4801.27,3932818.11,824715.9
1999,Other,16,72,469.92,4102.92,3237.16,26730,8488.41
2000,Asia Pacific,293,29845,66366.5,155139.21,8436.14,2049041.24,261624.22
2000,Europe,214,12671,80732.95,194301.71,18353.85,2375675.44,401393.52
2000,North America,1753,38911,155846.72,375702.51,5793.37,4843234.98,976587.08
2000,Other,26,95,869.94,6083.04,3402.75,49804.55,18170.2
2001,Asia Pacific,311,32512,67534.52,151863.57,7751.03,2008584.54,222796.81
2001,Europe,226,14184,87723.59,162736.13,15391.3,2341746.2,358009.89
2001,North America,1751,41620,166332.97,360357.06,5604.87,4905981.75,831095.83
2001,Other,27,130,801.12,7455.11,2988.03,48403.57,15480.96
2002,Asia Pacific,323,34341,76171.65,171500.75,9147.67,2308491.72,313858.95
2002,Europe,232,15078,97495.41,201600.4,15467.7,2700823.87,405935.78
2002,North America,1698,42501,159340.53,292968.29,6644.25,4751459.96,871291.51
2002,Other,27,126,819.12,7027.5,2266,38588.46,12367.7
2003,Asia Pacific,332,35035,91757.33,190221.03,12603.11,2769819.13,399151.55
2003,Europe,226,15056,110918.7,202747.68,23197.27,2971355.73,483653.63
2003,North America,1701,44455,163297.93,267932.05,7493.08,5183639.43,940833.62
2003,Other,35,191,990.61,10136.92,2538.56,53577.39,17748.74
2004,Asia Pacific,341,36767,94091.08,242224.38,12953.73,3028717.53,458512.5
2004,Europe,218,14062,124596.4,233383.64,19296.91,3410163.19,570307.76
2004,North America,1625,43776,174322.1,327859.19,9265.02,6123987.67,1158595.04
2004,Other,42,203,1911.91,13731.58,3059.11,80570.86,26034.73
2005,Asia Pacific,336,32497,90764.09,244171.32,14862.04,3004815.11,431334.99
2005,Europe,208,11454,109017.68,208552.81,26759.38,3100086.84,582013.92
2005,North America,1533,39292,182522.88,338141.21,8825.7,6360225.76,1177990.75
2005,Other,29,140,1582.93,17107.74,4837.68,97061.27,31549.93
2006,Asia Pacific,347,41758,97821.52,289218.13,15736.02,3459225.37,519370.09
2006,Europe,219,13572,128174.6,275004.84,40262.75,3920432.29,758055.16
2006,North America,1563,47122,214071.54,403723.35,11121.73,7224895.2,1424200.73
2006,Other,31,167,3568.98,22013.53,6419.8,116567.92,40016.24
2007,Asia Pacific,344,39074,119954.05,350136.94,18983.83,4360531.2,651625.42
2007,Europe,214,11998,154094.7,297942.92,35360.97,4186104.06,829975.03
2007,North America,1501,41673,225716.75,413393.02,15401.69,7864578.52,1638005.52
2007,Other,31,150,2987.79,31070.97,8266.12,153717.97,52102.11
2008,Asia Pacific,343,40772,125572.75,345659.73,18867.35,4220012.43,479621.42
2008,Europe,214,11919,150473.93,310052.29,47387.77,4604586.21,777631.2
2008,North America,1417,42366,233783.91,423144.98,14050.75,7750589.65,1255948.69
2008,Other,25,160,4756.23,40279.51,10640.17,182157.84,54820.12
2009,Asia Pacific,352,44412,119588.46,294126.9,19384.76,3989951.14,518094.41
2009,Europe,218,12539,156218.1,274218.4,56860.03,4014988.72,631243.39
2009,North America,1416,45137,206078.03,369228.67,16283.36,7278001.13,1206762.84
2009,Other,31,194,3643.71,47680.14,12203.47,165032.09,50123.5
2010,Asia Pacific,353,56552,149420.35,355378.35,22250.69,4944778.92,687874.29
2010,Europe,223,16757,155755.47,259910.66,56758.22,4275367.02,814769.85
2010,North America,1481,57757,225856.62,396170.09,20406.97,8293450.72,1788158.63
2010,Other,33,245,3911.07,66613.25,17150,234066.12,77072.91
2011,Asia Pacific,349,57889,163901.45,390575.16,24076.9,5132385.09,679394.26
2011,Europe,229,16613,160797.4,273695.05,49087.39,4573711.47,860269.25
2011,North America,1517,59037,243352.58,497777.12,19873.79,9385472.16,1932769.28
2011,Other,40,226,5303.12,61601.98,15021.72,274737.48,84989.61
2012,Asia Pacific,344,64201,148821.61,407815.43,25808.01,5028234.05,671910.15
2012,Europe,231,18845,173359.84,329741.38,55339.25,5021856.98,837159.94
2012,North America,1592,66120,262422.09,543413.43,18604.46,9454963.18,1962501.41
2012,Other,49,267,5221.26,71303.53,14404.74,302814.39,73607.68
2013,Asia Pacific,332,65864,146122.8,426492.23,25409.92,5145056.17,726255.4
2013,Europe,240,20973,180310.71,346216.54,60890.38,5137939.24,861378.94
2013,North America,1651,74415,273402.73,551120.35,18759.06,9458934.21,2039112.42
2013,Other,46,287,4585.57,62091.63,11851.89,239185.53,59668.81
2014,Asia Pacific,342,69474,139987.19,370293.87,23718.59,4643265.09,684491.51
2014,Europe,239,22203,166866.24,305848.34,59619.01,4614633.9,791908.49
2014,North America,1601,80983,294684.77,607328.57,21149.29,9919444.73,2069472.05
2014,Other,55,306,4824.51,60802.78,10940.3,288764.9,63970.15
2015,Asia Pacific,342,68989,147459.23,378220.23,26659.75,4606771.61,689188.45
2015,Europe,240,21513,163325.32,289664.15,47032.87,4116512.56,706919.56
2015,North America,1521,75814,308658.11,545308.51,19468.33,8975163.88,1884512.45
2015,Other,56,323,4232.32,46912.09,9503.07,225069.46,46486.46
2016,Asia Pacific,325,68396,146990.17,368095.66,31417.09,4404852.07,720889.97
2016,Europe,223,21106,162803.44,264744.59,50994.93,3916730.79,691754.44
2016,North America,1430,75461,326207.75,518526.09,21167.07,8987757.63,1854174.55
2016,Other,55,328,4572.13,29653.04,10037.26,180982.78,52371.33
