gvkey,year,patentcount
001004,1983,1
001004,1985,1
001004,1993,3
001004,1994,1
001004,1995,3
001004,2000,1
001004,2003,1
001004,2005,1
001004,2009,1
001004,2010,3
001004,2011,1
001004,2013,1
001004,2015,2
001004,2016,1
001010,1980,47
001010,1981,35
001010,1982,22
001010,1983,26
001010,1984,18
001010,1985,7
001010,1986,8
001010,1987,5
001010,1988,3
001010,1989,5
001010,1990,3
001010,1991,6
001010,1993,3
001010,1994,4
001010,1995,1
001012,1987,1
001013,1986,4
001013,1987,10
001013,1988,8
001013,1989,2
001013,1990,4
001013,1991,12
001013,1992,9
001013,1993,15
001013,1994,12
001013,1995,11
001013,1996,9
001013,1997,10
001013,1998,10
001013,1999,23
001013,2000,23
001013,2001,47
001013,2002,69
001013,2003,99
001013,2004,97
001013,2005,82
001013,2006,84
001013,2007,89
001013,2008,131
001013,2009,141
001013,2010,145
001018,1980,4
001018,1982,5
001018,1983,1
001020,1980,1
001021,1994,1
001021,1998,1
001021,1999,1
001021,2000,1
001021,2001,2
001021,2002,1
001021,2003,1
001021,2006,1
001021,2007,1
001034,2003,1
001036,1992,1
001036,1993,2
001036,1994,3
001036,1995,1
001036,1996,5
001036,1997,2
001036,1998,8
001036,1999,3
001036,2000,13
001037,1989,1
001037,1990,1
001037,1991,1
001040,1982,1
001040,1983,1
001040,1984,15
001045,1997,1
001045,2000,2
001045,2013,1
001045,2014,1
001045,2015,1
001045,2016,1
001048,2001,1
001055,1990,2
001055,1991,2
001055,1992,3
001055,1993,8
001055,1994,17
001055,1995,20
001055,1996,23
001056,1996,1
001056,1997,1
001056,1998,1
001056,2001,2
001056,2002,6
001056,2003,6
001056,2004,3
001056,2005,3
001056,2006,4
001072,1981,1
001072,1982,1
001072,1983,1
001072,1984,5
001072,1985,5
001072,1986,2
001072,1987,2
001072,1988,3
001072,1989,3
001072,1990,3
001072,1991,3
001072,1992,3
001072,1993,6
001072,1994,3
001072,1995,3
001072,1996,5
001072,1997,2
001072,1999,5
001072,2000,4
001072,2001,8
001072,2002,6
001072,2003,8
001072,2004,9
001072,2005,10
001072,2006,11
001072,2007,6
001072,2008,10
001072,2009,9
001072,2010,20
001072,2011,11
001072,2012,28
001072,2013,24
001072,2014,17
001072,2015,19
001072,2016,18
001072,2017,9
001075,1999,1
001075,2002,2
001075,2003,3
001075,2004,2
001075,2005,5
001075,2006,3
001075,2007,4
001075,2008,4
001075,2009,2
001075,2010,3
001075,2011,1
001075,2012,2
001075,2013,1
001075,2014,1
001078,1980,102
001078,1981,64
001078,1982,50
001078,1983,33
001078,1984,34
001078,1985,39
001078,1986,38
001078,1987,34
001078,1988,54
001078,1989,43
001078,1990,79
001078,1991,93
001078,1992,137
001078,1993,140
001078,1994,166
001078,1995,173
001078,1996,253
001078,1997,253
001078,1998,280
001078,1999,223
001078,2000,203
001078,2001,250
001078,2002,286
001078,2003,378
001078,2004,271
001078,2005,198
001078,2006,248
001078,2007,243
001078,2008,224
001078,2009,237
001078,2010,439
001078,2011,549
001078,2012,640
001078,2013,556
001078,2014,470
001078,2015,357
001078,2016,336
001078,2017,104
001081,1996,3
001081,2000,1
001081,2001,1
001084,1997,1
001084,1998,1
001084,2001,1
001084,2009,1
001084,2012,2
001084,2013,1
001084,2014,1
001084,2015,1
001085,1984,77
001094,2006,1
001094,2012,1
001094,2016,1
001099,1983,1
001099,1987,2
001099,1988,2
001099,1989,1
001099,1990,1
001099,1991,1
001099,1992,1
001099,1993,1
001099,1994,1
001099,1996,3
001099,1997,1
001099,1998,1
001103,1984,1
001104,1986,2
001104,1987,3
001104,1995,1
001104,2000,1
001104,2001,1
001104,2003,2
001104,2005,1
001104,2006,2
001104,2009,1
001104,2011,5
001104,2012,3
001104,2014,6
001104,2016,1
001111,1987,1
001111,2006,2
001115,1987,1
001115,1992,1
001115,1993,1
001115,1994,3
001115,1995,5
001115,1996,6
001115,1997,8
001115,1998,8
001115,1999,6
001115,2000,4
001126,1980,1
001145,1981,1
001151,1986,1
001151,1987,1
001151,1994,1
001154,1996,1
001154,1997,1
001154,1998,1
001159,1980,1
001161,1980,1
001161,1981,2
001161,1982,4
001161,1983,8
001161,1984,15
001161,1985,32
001161,1986,54
001161,1987,92
001161,1988,82
001161,1989,87
001161,1990,84
001161,1991,83
001161,1992,71
001161,1993,85
001161,1994,87
001161,1995,136
001161,1996,177
001161,1997,275
001161,1998,569
001161,1999,839
001161,2000,1092
001161,2001,1126
001161,2002,1178
001161,2003,917
001161,2004,834
