gvkey,company,year,patentcount
1000,A & E Plastik Pak Inc,1976,4
1000,A & E Plastik Pak Inc,1977,2
1000,A & E Plastik Pak Inc,1978,1
1000,A & E Plastik Pak Inc,1979,3
1000,A & E Plastik Pak Inc,1980,2
1002,AAI Corp,1976,10
1002,AAI Corp,1977,24
1002,AAI Corp,1978,13
1002,AAI Corp,1979,5
1002,AAI Corp,1980,2
1002,AAI Corp,1981,2
1002,AAI Corp,1982,1
1002,AAI Corp,1983,1
1002,AAI Corp,1984,1
1002,AAI Corp,1986,2
1002,AAI Corp,1987,2
1002,AAI Corp,1988,3
1002,AAI Corp,1989,1
1002,AAI Corp,1990,1
1002,AAI Corp,1991,1
1002,AAI Corp,1992,1
1002,AAI Corp,1993,4
1002,AAI Corp,1994,5
1002,AAI Corp,1995,2
1002,AAI Corp,1996,2
1002,AAI Corp,1997,1
1002,AAI Corp,1998,1
1002,AAI Corp,1999,6
1002,AAI Corp,2000,6
1002,AAI Corp,2002,1
1002,AAI Corp,2003,2
1002,AAI Corp,2004,1
1002,AAI Corp,2005,1
1002,AAI Corp,2006,3
1002,AAI Corp,2008,5
1002,AAI Corp,2009,3
1002,AAI Corp,2010,2
1002,AAI Corp,2011,5
1002,AAI Corp,2012,10
1002,AAI Corp,2013,4
1002,AAI Corp,2014,4
1002,AAI Corp,2015,1
1002,AAI Corp,2016,8
1002,AAI Corp,2017,5
1002,AAI Corp,2018,6
1002,AAI Corp,2019,2
1002,AAI Corp,2020,5
1004,AAR Corp,1976,2
1004,AAR Corp,1978,1
1004,AAR Corp,1979,1
1004,AAR Corp,1981,3
1004,AAR Corp,1982,1
1004,AAR Corp,1983,2
1004,AAR Corp,1984,3
1004,AAR Corp,1985,2
1004,AAR Corp,1986,2
1004,AAR Corp,1987,4
1004,AAR Corp,1988,4
1004,AAR Corp,1990,2
1004,AAR Corp,1991,1
1004,AAR Corp,1992,3
1004,AAR Corp,1993,5
1004,AAR Corp,1994,1
1004,AAR Corp,1995,3
1004,AAR Corp,1997,1
1004,AAR Corp,2000,1
1004,AAR Corp,2003,1
1004,AAR Corp,2005,1
