region,sector_code,count_companies,count_patents
North America,10,3675,102122
North America,15,9120,144910
North America,20,20645,410522
North America,25,13679,238003
North America,30,4026,68525
North America,35,21475,299628
North America,40,2995,41741
North America,45,24139,998573
North America,50,2419,115796
North America,55,1140,3369
North America,60,292,1574
North America,NA,8241,56471
Europe,10,1191,14362
Europe,15,4763,92117
Europe,20,12308,207408
Europe,25,4901,96604
Europe,30,1768,29015
Europe,35,6944,166407
Europe,40,625,5478
Europe,45,5302,160969
Europe,50,860,10164
Europe,55,555,5730
Europe,60,44,114
Europe,NA,640,2747
Asia Pacific,10,864,13202
Asia Pacific,15,9119,131983
Asia Pacific,20,13411,294597
Asia Pacific,25,10119,519921
Asia Pacific,30,2626,19255
Asia Pacific,35,6932,61886
Asia Pacific,40,449,1628
Asia Pacific,45,16849,868303
Asia Pacific,50,1179,26367
Asia Pacific,55,616,3142
Asia Pacific,60,304,860
Asia Pacific,NA,237,2179
Other,10,115,968
Other,15,383,1190
Other,20,489,1631
Other,25,321,1496
Other,30,165,747
Other,35,587,2591
Other,40,102,1573
Other,45,736,3027
Other,50,46,87
Other,55,32,60
Other,60,16,29
Other,NA,28,38
