gvkey,year,company,city,country_code,sector_code,patentcount,country,region
334426,2014,Saudi Arabian Oil Company,Dhahran,SAU,10,136,Saudi Arabia,Asia Pacific
279449,2014,Idemitsu Kosan Co Ltd,Tokyo,JPN,10,120,Japan,Asia Pacific
100158,2014,ENEOS Holdings Inc,Tokyo,JPN,10,82,Japan,Asia Pacific
285205,2014,SK Innovation Co Ltd,Seoul,KOR,10,57,South Korea,Asia Pacific
140756,2014,CHINA PETROLEUM & CHEMICAL CORPORATION,Beijing,CHN,10,32,China,Asia Pacific
207074,2014,Reliance Industries Ltd,Mumbai,IND,10,30,India,Asia Pacific
102257,2014,Cosmo Energy Holdings Co Ltd,Tokyo,JPN,10,25,Japan,Asia Pacific
259380,2014,Japan Petroleum Exploration Co Ltd,Tokyo,JPN,10,17,Japan,Asia Pacific
203741,2014,SK Discovery Co Ltd,Seongnam-si,KOR,10,16,South Korea,Asia Pacific
271196,2014,Inpex Corp,Tokyo,JPN,10,16,Japan,Asia Pacific
245036,2014,Lg Chem Ltd,Seoul,KOR,15,404,South Korea,Asia Pacific
100683,2014,Nitto Denko Corp,Osaka,JPN,15,277,Japan,Asia Pacific
100697,2014,Shin-Etsu Chemical Co Ltd,Tokyo,JPN,15,260,Japan,Asia Pacific
100689,2014,Sumitomo Chemical Co Ltd,Tokyo,JPN,15,217,Japan,Asia Pacific
100155,2014,Nippon Steel Corp,Tokyo,JPN,15,187,Japan,Asia Pacific
100696,2014,Resonac Holdings Corporation,Tokyo,JPN,15,185,Japan,Asia Pacific
100393,2014,Hitachi Metals Ltd,Tokyo,JPN,15,163,Japan,Asia Pacific
100258,2014,Asahi Kasei Corp,Tokyo,JPN,15,153,Japan,Asia Pacific
100724,2014,Toray Industries Inc,Tokyo,JPN,15,135,Japan,Asia Pacific
19045,2014,Mitsubishi Chemical Group Corporation,Tokyo,JPN,15,125,Japan,Asia Pacific
10622,2014,Toshiba Corp,Tokyo,JPN,20,2872,Japan,Asia Pacific
5650,2014,Hitachi Ltd,Tokyo,JPN,20,1414,Japan,Asia Pacific
19043,2014,Mitsubishi Electric Corp,Tokyo,JPN,20,992,Japan,Asia Pacific
100012,2014,Mitsubishi Heavy Industries Ltd,Tokyo,JPN,20,373,Japan,Asia Pacific
6494,2014,Komatsu Ltd,Tokyo,JPN,20,213,Japan,Asia Pacific
101851,2014,Fuji Electric Co Ltd,Tokyo,JPN,20,187,Japan,Asia Pacific
101138,2014,Daikin Industries Ltd,Osaka,JPN,20,156,Japan,Asia Pacific
221821,2014,Nidec Corporation,Kyoto,JPN,20,147,Japan,Asia Pacific
100906,2014,Ngk Insulators Ltd,Nagoya,JPN,20,124,Japan,Asia Pacific
100288,2014,Kawasaki Heavy Industries Ltd,Tokyo,JPN,20,121,Japan,Asia Pacific
9818,2014,Sony Group Corporation,Tokyo,JPN,25,3597,Japan,Asia Pacific
7114,2014,Panasonic Holdings Corporation,Kadoma,JPN,25,2802,Japan,Asia Pacific
251303,2014,Lg Electronics Inc,Seoul,KOR,25,2476,South Korea,Asia Pacific
19661,2014,Toyota Motor Corp,Toyota,JPN,25,1908,Japan,Asia Pacific
5691,2014,Honda Motor Co Ltd,Tokyo,JPN,25,1276,Japan,Asia Pacific
100699,2014,Sharp Corp,Sakai,JPN,25,1219,Japan,Asia Pacific
19112,2014,Denso Corp,Kariya,JPN,25,855,Japan,Asia Pacific
104607,2014,Hyundai Motor Co,Seoul,KOR,25,630,South Korea,Asia Pacific
19413,2014,Sumitomo Electric Industries Ltd,Osaka,JPN,25,523,Japan,Asia Pacific
19113,2014,Nissan Motor Co Ltd,Yokohama,JPN,25,413,Japan,Asia Pacific
18715,2014,Kao Corp,Tokyo,JPN,30,141,Japan,Asia Pacific
104854,2014,Unicharm Corporation,Tokyo,JPN,30,76,Japan,Asia Pacific
278216,2014,Amorepacific Corp,Seoul,KOR,30,49,South Korea,Asia Pacific
286420,2014,CJ CheilJedang Corp,Seoul,KOR,30,46,South Korea,Asia Pacific
100253,2014,Ajinomoto Co Inc,Tokyo,JPN,30,42,Japan,Asia Pacific
19344,2014,Shiseido Co Ltd,Tokyo,JPN,30,37,Japan,Asia Pacific
105130,2014,Sakata Seed Corp,Yokohama,JPN,30,23,Japan,Asia Pacific
223528,2014,Japan Tobacco Inc,Tokyo,JPN,30,18,Japan,Asia Pacific
18729,2014,Kirin Holdings Co Ltd,Tokyo,JPN,30,17,Japan,Asia Pacific
101866,2014,Meiji Holdings Co Ltd,Tokyo,JPN,30,17,Japan,Asia Pacific
