year,region,count_companies,count_patents
1976,North America,1498,22805
1976,Europe,350,7068
1976,Asia Pacific,421,5390
1976,Other,14,34
1977,North America,1539,22083
1977,Europe,358,6350
1977,Asia Pacific,432,5109
1977,Other,17,38
1978,North America,1511,22046
1978,Europe,380,6597
1978,Asia Pacific,477,5448
1978,Other,21,40
1979,North America,1359,16081
1979,Europe,348,4888
1979,Asia Pacific,419,4280
1979,Other,13,38
1980,North America,1452,19676
1980,Europe,371,6166
1980,Asia Pacific,471,5840
1980,Other,13,29
1981,North America,1484,21188
1981,Europe,388,6649
1981,Asia Pacific,496,6935
1981,Other,18,42
1982,North America,1407,18289
1982,Europe,418,6036
1982,Asia Pacific,492,7029
1982,Other,23,52
1983,North America,1450,18354
1983,Europe,421,5772
1983,Asia Pacific,522,7593
1983,Other,25,51
1984,North America,1604,21398
1984,Europe,463,6750
1984,Asia Pacific,552,9518
1984,Other,25,46
1985,North America,1625,22081
1985,Europe,485,7263
1985,Asia Pacific,612,10983
1985,Other,26,63
1986,North America,1674,20788
1986,Europe,555,6948
1986,Asia Pacific,633,11382
1986,Other,20,72
1987,North America,1845,23447
1987,Europe,558,8010
1987,Asia Pacific,707,14557
1987,Other,30,84
1988,North America,1834,21365
1988,Europe,540,7602
1988,Asia Pacific,713,14476
1988,Other,30,81
1989,North America,1985,25461
1989,Europe,585,9217
1989,Asia Pacific,771,18111
1989,Other,33,92
1990,North America,1904,24057
1990,Europe,605,9099
1990,Asia Pacific,799,18066
1990,Other,32,99
1991,North America,1992,26435
1991,Europe,623,9532
1991,Asia Pacific,824,19856
1991,Other,27,97
1992,North America,2018,27158
1992,Europe,634,9546
1992,Asia Pacific,854,20779
1992,Other,25,88
1993,North America,2102,28284
1993,Europe,645,9402
1993,Asia Pacific,879,21637
1993,Other,32,103
1994,North America,2163,29789
1994,Europe,645,9212
1994,Asia Pacific,930,22226
1994,Other,33,89
1995,North America,2207,29803
1995,Europe,655,9449
1995,Asia Pacific,935,21873
1995,Other,40,118
1996,North America,2356,32984
1996,Europe,695,10359
1996,Asia Pacific,980,23753
1996,Other,48,146
1997,North America,2418,33753
1997,Europe,688,10813
1997,Asia Pacific,1004,24583
1997,Other,45,160
1998,North America,2794,44438
1998,Europe,789,14170
1998,Asia Pacific,1140,33638
1998,Other,64,208
1999,North America,2829,47239
1999,Europe,872,15347
1999,Asia Pacific,1220,35212
1999,Other,55,230
2000,North America,2930,49604
2000,Europe,922,16691
2000,Asia Pacific,1266,36810
2000,Other,64,207
2001,North America,2944,52539
2001,Europe,940,18452
2001,Asia Pacific,1385,39464
2001,Other,73,242
2002,North America,2858,52263
2002,Europe,984,19355
2002,Asia Pacific,1413,41435
2002,Other,59,239
2003,North America,2840,54337
2003,Europe,1031,19321
2003,Asia Pacific,1435,42766
2003,Other,76,301
2004,North America,2740,53424
2004,Europe,959,18113
2004,Asia Pacific,1504,44481
2004,Other,85,303
2005,North America,2595,48198
2005,Europe,948,15265
2005,Asia Pacific,1442,39069
2005,Other,67,247
2006,North America,2812,60464
2006,Europe,1014,18586
2006,Asia Pacific,1608,49981
2006,Other,72,290
2007,North America,2628,55499
2007,Europe,990,17755
2007,Asia Pacific,1608,47671
2007,Other,83,285
2008,North America,2623,56334
2008,Europe,1010,17745
2008,Asia Pacific,1624,50383
2008,Other,64,278
2009,North America,2604,59957
2009,Europe,1011,18241
2009,Asia Pacific,1676,53406
2009,Other,78,304
2010,North America,2808,75631
2010,Europe,1133,23939
2010,Asia Pacific,1897,67825
2010,Other,94,404
2011,North America,2821,76762
2011,Europe,1155,23743
2011,Asia Pacific,1913,70416
2011,Other,94,371
2012,North America,2952,85727
2012,Europe,1240,27635
2012,Asia Pacific,2037,77985
2012,Other,101,454
2013,North America,3058,96587
2013,Europe,1268,29971
2013,Asia Pacific,2128,81039
2013,Other,126,519
2014,North America,3052,105564
2014,Europe,1304,32339
2014,Asia Pacific,2242,85992
2014,Other,121,584
2015,North America,3025,103303
2015,Europe,1301,32295
2015,Asia Pacific,2302,86799
2015,Other,128,607
2016,North America,3048,106857
2016,Europe,1355,33143
2016,Asia Pacific,2328,88284
2016,Other,137,615
2017,North America,3065,111138
2017,Europe,1397,35421
2017,Asia Pacific,2482,91290
2017,Other,138,735
2018,North America,3037,105991
2018,Europe,1328,33054
2018,Asia Pacific,2510,88657
2018,Other,123,747
2019,North America,3153,121676
2019,Europe,1413,37646
2019,Asia Pacific,2639,100867
2019,Other,138,874
2020,North America,3117,119859
2020,Europe,1392,35770
2020,Asia Pacific,2669,100893
2020,Other,135,877
2021,North America,3076,108864
2021,Europe,1379,32823
2021,Asia Pacific,2652,93905
2021,Other,122,858
2022,North America,3010,101654
2022,Europe,1356,31567
2022,Asia Pacific,2662,95631
2022,Other,133,996
