year,sector_code,count_companies,count_patents
1976,10,77,2283
1976,15,325,6127
1976,20,563,8388
1976,25,289,4199
1976,30,104,1162
1976,35,164,5242
1976,40,35,395
1976,45,217,3775
1976,50,23,623
1976,55,21,50
1976,60,8,26
1976,NA,457,3027
1977,10,76,2256
1977,15,337,5592
1977,20,586,8220
1977,25,303,3842
1977,30,111,991
1977,35,170,4860
1977,40,25,364
1977,45,235,3843
1977,50,21,656
1977,55,23,47
1977,60,7,18
1977,NA,452,2891
1978,10,73,2464
1978,15,330,5656
1978,20,589,8391
1978,25,329,3937
1978,30,109,976
1978,35,170,4958
1978,40,32,357
1978,45,266,3756
1978,50,20,718
1978,55,23,46
1978,60,7,34
1978,NA,441,2838
1979,10,69,1812
1979,15,295,3985
1979,20,555,6260
1979,25,287,3057
1979,30,95,723
1979,35,158,3600
1979,40,28,256
1979,45,222,2892
1979,50,25,529
1979,55,22,38
1979,60,10,26
1979,NA,373,2109
1980,10,72,2072
1980,15,323,5121
1980,20,587,8042
1980,25,326,4211
1980,30,114,908
1980,35,167,4506
1980,40,30,372
1980,45,245,3425
1980,50,21,574
1980,55,20,40
1980,60,6,33
1980,NA,396,2407
1981,10,76,2297
1981,15,349,5552
1981,20,597,8902
1981,25,329,4407
1981,30,113,994
1981,35,185,4896
1981,40,37,402
1981,45,265,4104
1981,50,24,610
1981,55,27,71
1981,60,5,41
1981,NA,379,2538
1982,10,75,1961
1982,15,329,4835
1982,20,623,8283
1982,25,324,4307
1982,30,117,897
1982,35,185,4052
1982,40,35,333
1982,45,272,3864
1982,50,19,531
1982,55,28,70
1982,60,6,34
1982,NA,327,2239
1983,10,82,2413
1983,15,369,4906
1983,20,612,8249
1983,25,340,4510
1983,30,118,950
1983,35,199,3854
1983,40,43,281
1983,45,299,4041
1983,50,21,465
1983,55,27,86
1983,60,8,31
1983,NA,300,1984
1984,10,85,2787
1984,15,365,5566
1984,20,692,10027
1984,25,373,5677
1984,30,124,1026
1984,35,239,4502
1984,40,44,257
1984,45,338,4902
1984,50,29,529
1984,55,34,125
1984,60,5,17
1984,NA,316,2297
1985,10,88,2806
1985,15,397,5847
1985,20,709,10874
1985,25,392,6063
1985,30,126,1210
1985,35,258,4760
1985,40,38,281
1985,45,380,5553
1985,50,26,596
1985,55,40,118
1985,60,5,22
1985,NA,289,2260
1986,10,78,2467
1986,15,395,5404
1986,20,761,10518
1986,25,418,5905
1986,30,141,1188
1986,35,269,4694
1986,40,46,267
1986,45,408,6127
1986,50,31,706
1986,55,37,130
1986,60,9,35
1986,NA,289,1749
1987,10,92,2541
1987,15,394,5810
1987,20,862,12551
1987,25,463,7505
1987,30,153,1477
1987,35,316,5316
1987,40,51,286
1987,45,452,7869
1987,50,37,1069
1987,55,47,197
1987,60,8,34
1987,NA,265,1443
1988,10,92,2206
1988,15,419,5962
1988,20,831,11661
1988,25,442,7064
1988,30,138,1426
1988,35,331,4913
1988,40,54,243
1988,45,500,7930
1988,50,41,835
1988,55,38,167
1988,60,8,26
1988,NA,223,1091
1989,10,104,2818
1989,15,459,6996
1989,20,883,14225
1989,25,484,8270
1989,30,170,1809
1989,35,358,5850
1989,40,38,259
1989,45,545,10271
1989,50,50,966
1989,55,42,199
1989,60,9,36
1989,NA,232,1182
1990,10,98,2461
1990,15,433,7316
1990,20,869,13399
1990,25,484,8029
1990,30,150,1713
1990,35,395,5733
1990,40,60,255
1990,45,556,10064
1990,50,40,1139
1990,55,39,180
1990,60,13,48
1990,NA,203,984
1991,10,103,2602
1991,15,453,7819
1991,20,915,14382
1991,25,515,8927
1991,30,164,1750
1991,35,399,5970
1991,40,43,284
1991,45,576,11687
1991,50,41,1166
1991,55,48,208
1991,60,8,43
1991,NA,201,1082
1992,10,100,2615
1992,15,465,7863
1992,20,925,14246
1992,25,501,9116
1992,30,162,1773
1992,35,438,6337
1992,40,49,271
1992,45,606,12903
1992,50,47,1158
1992,55,47,263
1992,60,11,38
1992,NA,180,988
1993,10,109,2521
1993,15,466,8000
1993,20,944,13894
1993,25,504,9575
1993,30,168,1796
1993,35,488,6547
1993,40,57,312
1993,45,632,14369
1993,50,49,1092
1993,55,54,244
1993,60,11,32
1993,NA,176,1044
1994,10,105,2414
1994,15,468,7696
1994,20,959,13779
1994,25,508,9964
1994,30,181,1851
1994,35,506,6548
1994,40,50,375
1994,45,711,16137
1994,50,58,1313
1994,55,54,232
1994,60,13,37
1994,NA,158,970
1995,10,102,1948
1995,15,474,6992
1995,20,917,13629
1995,25,542,10020
1995,30,172,1899
1995,35,553,7046
1995,40,59,366
1995,45,740,16799
1995,50,55,1392
1995,55,58,215
1995,60,12,24
1995,NA,153,913
1996,10,105,1749
1996,15,498,6936
1996,20,969,14053
1996,25,574,11051
1996,30,176,2161
1996,35,609,7892
1996,40,52,399
1996,45,806,20626
1996,50,64,1236
1996,55,64,201
1996,60,8,29
1996,NA,154,909
1997,10,102,1570
1997,15,490,6789
1997,20,976,13584
1997,25,578,11617
1997,30,181,2348
1997,35,656,9268
1997,40,54,508
1997,45,831,21866
1997,50,62,704
1997,55,58,204
1997,60,10,32
1997,NA,157,819
1998,10,124,1880
1998,15,561,8027
1998,20,1026,17247
1998,25,664,15753
1998,30,195,2778
1998,35,809,11584
1998,40,83,663
1998,45,1017,32227
1998,50,72,1112
1998,55,65,225
1998,60,12,26
1998,NA,159,932
1999,10,134,2066
1999,15,569,8194
1999,20,1077,18035
1999,25,699,16424
1999,30,216,3101
1999,35,804,11553
1999,40,90,645
1999,45,1068,35560
1999,50,89,1300
1999,55,61,203
1999,60,16,38
1999,NA,153,909
2000,10,141,2299
2000,15,572,8257
2000,20,1083,18616
2000,25,732,16975
2000,30,223,3218
2000,35,864,11413
2000,40,82,685
2000,45,1134,39455
2000,50,105,1236
2000,55,59,217
